,Unnamed: 0,acc,bool_hebbian,phi,theta
750,,0.2629,1,5,0.004
751,,0.2797,1,5,0.004
752,,0.3153,1,5,0.004
753,,0.1686,1,5,0.004
754,,0.3474,1,5,0.004
755,,0.3523,1,5,0.004
756,,0.4302,1,5,0.004
757,,0.1773,1,5,0.004
758,,0.3659,1,5,0.004
759,,0.1997,1,5,0.004
760,,0.1963,1,5,0.004
761,,0.1792,1,5,0.004
762,,0.3468,1,5,0.004
763,,0.357,1,5,0.004
764,,0.2849,1,5,0.004
765,,0.1876,1,5,0.004
766,,0.2388,1,5,0.004
767,,0.1721,1,5,0.004
768,,0.2055,1,5,0.004
769,,0.3341,1,5,0.004
770,,0.4168,1,5,0.004
771,,0.3276,1,5,0.004
772,,0.2223,1,5,0.004
773,,0.3521,1,5,0.004
774,,0.5125,1,5,0.004
775,,0.2595,1,5,0.004
776,,0.406,1,5,0.004
777,,0.4124,1,5,0.004
778,,0.2542,1,5,0.004
779,,0.2433,1,5,0.004
780,,0.098,1,5,0.004
781,,0.4563,1,5,0.004
782,,0.1255,1,5,0.004
783,,0.3379,1,5,0.004
784,,0.29,1,5,0.004
785,,0.2687,1,5,0.004
786,,0.3256,1,5,0.004
787,,0.3785,1,5,0.004
788,,0.274,1,5,0.004
789,,0.3855,1,5,0.004
790,,0.2149,1,5,0.004
791,,0.422,1,5,0.004
792,,0.1005,1,5,0.004
793,,0.36,1,5,0.004
794,,0.1576,1,5,0.004
795,,0.3427,1,5,0.004
796,,0.5174,1,5,0.004
797,,0.1447,1,5,0.004
798,,0.2894,1,5,0.004
799,,0.278,1,5,0.004
800,,0.2384,0,5,0.005
801,,0.3298,0,5,0.005
802,,0.2381,0,5,0.005
803,,0.2487,0,5,0.005
804,,0.3346,0,5,0.005
805,,0.4068,0,5,0.005
806,,0.1666,0,5,0.005
807,,0.2246,0,5,0.005
808,,0.3508,0,5,0.005
809,,0.4879,0,5,0.005
810,,0.4176,0,5,0.005
811,,0.3433,0,5,0.005
812,,0.1756,0,5,0.005
813,,0.2945,0,5,0.005
814,,0.3097,0,5,0.005
815,,0.3364,0,5,0.005
816,,0.2596,0,5,0.005
