,Unnamed: 0,v_i,w_ij,v_j,grad,mean_Hebbian_update
1805,5,0.0,0.007774464786052705,1.5155401229858398,0.0,3.0192098477307487
1806,6,0.0,-0.014778063632547857,1.0989595651626587,-0.0002350286667933688,2.1212462379651913
1807,7,0.9960784316062928,0.029678121209144592,1.0830680131912231,0.0014123305445536973,2.0445096026740823
1808,8,0.572549045085907,0.043669376522302635,0.7475847601890564,-0.0010083772940561175,1.3371619276848494
1809,9,0.6627451181411743,0.0006597139872610568,2.1597855091094966,-0.000536384468432516,4.483898552025066
1810,0,1.0732932090759275,0.02320424094796181,3.0102343559265137,-0.04951532930135727,6.308413355958228
1811,1,1.693098068237305,-0.0004664385342039168,1.1454923152923584,-0.003576541319489479,1.8477993107893889
1812,2,0.5898995995521545,0.08670887351036073,0.0,0.0020202475134283304,-0.26732413639661434
1813,3,0.4731282889842987,0.0958874300122261,0.6186215877532959,0.0006750024622306228,1.0773151527140654
1814,4,1.1904553174972534,0.030255038291215893,0.7366601824760437,-0.0047100912779569635,1.0746208537443012
1815,5,1.3287461996078491,0.008950336836278439,2.6974315643310547,0.0012913539540022614,5.683778566472671
1816,6,0.6121332049369812,0.034501396119594574,5.495530605316162,-0.0026920884847640987,11.221424654418348
1817,7,0.5637539625167847,0.01035422459244728,1.0672188997268677,-0.013756216503679752,2.0823757930421363
1818,8,2.324404716491699,-0.018854057416319847,2.242485761642456,0.010681604966521265,4.32122238535507
1819,9,1.121428370475769,-0.023317832499742508,0.0,0.01547339931130409,-0.5824659701217624
1820,0,7.1549248695373535,-0.028977913782000538,0.0,-0.31224700808525085,-2.1328097826563845
1821,1,0.00010347461648052558,0.09451589733362198,0.0,5.179259687793092e-07,0.02887017898918951
1822,2,4.6611061096191415,0.09949721395969392,1.6088799238204956,0.2356245964765549,1.7029597385987347
1823,3,0.00012626661919057372,0.06849642843008041,0.0,-2.9338877993723145e-06,0.018223508662891155
1824,4,8.777195034781471e-05,-0.0889434739947319,2.5928404331207275,5.204888680054864e-07,5.1780531347966665
1825,5,0.5721883177757263,-0.17098863422870636,0.7609269618988037,0.10738341510295868,1.222398183071146
1826,6,4.510291576385498,-0.12418826669454575,0.4144771695137024,-0.03277095407247543,-0.8365905656805719
1827,7,5.458053112030028,-0.13072827458381653,0.0,0.028166547417640686,-1.7763048799014558
1828,8,0.00012556376168504355,0.06849642843008041,0.9042108654975892,-2.9338877993723145e-06,1.7464926399144471
1829,9,8.070881843566895,0.06448286771774292,0.0,0.00636122701689601,-2.3062508496291496
1830,0,0.0,0.011505641974508762,0.0,0.0,-0.004284109230901973
1831,1,0.0,0.008590411394834518,0.4304426014423369,0.0005502449348568916,0.7161686624966416
1832,2,0.0,-0.03451325371861458,1.0161509513854978,0.0,1.9298797140226644
1833,3,0.0,0.05865548178553581,1.0732749700546265,0.00014577784168068317,2.1081206792709875
1834,4,0.0,-0.00659400038421154,1.9848499298095703,-0.0001884397788671777,3.985432629491769
1835,5,0.0,0.028738910332322117,0.0,0.0,0.002426214465944498
1836,6,0.0,-0.0006360167753882706,1.2277687788009644,-0.00048627436626702547,2.40611188435087
1837,7,0.0,-0.0052127703092992314,1.0219497680664062,0.00023470405722036958,1.9597316096518553
1838,8,0.0,0.011189531534910202,0.1727219820022583,0.0,0.2619913818985772
1839,9,0.0,0.057120867073535926,1.6298484802246094,0.0,3.2866744457506667
1840,0,2.228486482636072e-05,-0.05062392354011536,0.0,0.00045597157441079617,-0.027621558264774436
1841,1,1.1333258152008057,0.05571524798870087,0.0,-5.211683862249572e-11,-0.5455566636268415
1842,2,0.990027129650116,-0.009178444743156431,1.986623287200928,-0.003496099496260285,4.141707720709782
1843,3,0.8697649836540222,0.050738200545310974,0.4808482527732849,0.0005010329186916351,0.5959745323395028
1844,4,2.0885896682739262,-0.006565299350768328,4.282453536987306,-0.002289996249601245,9.029120499012517
1845,5,0.8262872099876404,-0.06267295777797699,5.145557403564453,0.00446659279987216,10.510283304195777
1846,6,3.815404852502979e-05,0.01198351476341486,4.626412868499756,0.0013884222134947775,9.330545815767026
1847,7,2.749523639678955,-0.032606787979602814,2.0647437572479252,-0.00769714219495654,3.628009366054161
1848,8,1.0660552978515625,0.00855127815157175,2.314075469970703,0.008754698559641838,4.858064115047455
1849,9,0.014149408787488937,0.05307996645569801,2.786818027496338,0.0011806671973317864,5.657015717497059
1850,0,1.289379596710205,0.12667252123355865,3.464352369308472,-0.03545908257365227,7.327773517253352
1851,1,5.8832106590271,-0.09837385267019272,0.0,0.05352415144443512,-1.8625640181788043
1852,2,1.0110701322555542,-0.09530758857727052,7.132607460021973,0.003577797440811992,14.516770376878625
1853,3,0.2906515598297119,0.15967170894145966,0.0,0.021402440965175632,-0.07337513975068635
1854,4,1.1540377140045166,0.10158516466617584,0.0,-0.08779320865869522,-0.526674356822874
1855,5,0.3026479780673981,0.13937270641326904,0.0,-0.02242014929652214,-0.08861207991254096
1856,6,6.095702648162843,-0.08542699366807938,0.7863743901252747,0.07732144743204117,-0.5472854899388611
1857,7,2.9771244525909424,-0.09836702793836594,0.5700373649597168,0.026574833318591118,-0.10203235183714651
1858,8,7.721562385559082,0.18152959644794464,0.013905290514230728,-0.024570778012275696,-2.1419624568273625
1859,9,1.6656079292297363,0.1118219792842865,0.0,-2.3003883597993988e-07,-0.6914706752982502
1860,0,0.0,0.01861683465540409,2.621016263961792,0.0,5.29791198758518
1861,1,0.0,0.00819912925362587,1.4284582138061523,0.0,2.8365140855312347
1862,2,0.0,0.019875336438417438,1.4277092218399048,0.0,2.8416708012421927
1863,3,0.0,-0.01644706167280674,0.9848635196685792,0.0,1.8723093830779487
1864,4,0.0,0.06881023943424225,0.6177156567573547,0.002353070303797722,1.1294659776430505
1865,5,0.0,0.004403777886182071,1.2182667255401611,0.0,2.388726185934216
1866,6,0.0,0.035882320255041115,1.362501621246338,0.0,2.7133532026234795
1867,7,0.0,-0.02944772318005562,0.9925904273986816,-7.148613804019988e-06,1.8814963641412117
1868,8,0.4235294163227081,-0.002803119830787182,0.9893129467964172,-0.00015725202683825046,1.8986696120278508
1869,9,0.9215686321258544,-0.0261762123554945,1.065130591392517,0.0005397254717536272,1.9854706357799323
1870,0,0.06424444913864136,0.06017421931028366,2.7843587398529053,-0.0024433329235762358,5.667972750523511
1871,1,1.0386284589767456,-0.04709628224372864,1.3372485637664795,-0.001370007754303515,2.6074675403389276
1872,2,0.7075267434120178,0.03206585720181465,5.745880126953125,-0.00394375529140234,11.742758610669304
1873,3,1.6306432485580444,0.07217796891927719,1.4051162004470823,-0.017820620909333233,2.6048399178566886
1874,4,2.210320949554444,0.0575181357562542,0.0,-1.5265098074479509e-09,-0.8777453896461749
1875,5,0.7104477286338806,-0.002524398732930422,3.185289144515991,-0.0005318362382240592,6.58146703710743
1876,6,0.8206702470779419,-0.009068057872354984,0.0,-4.549800092235046e-09,-0.4439525195105257
1877,7,1.330115556716919,0.05861133337020874,4.00902271270752,-0.017822254449129105,8.397005494903116
1878,8,0.578620970249176,0.05000558122992516,5.805863857269287,0.0018058802234008906,11.845270675771376
1879,9,0.5258345007896423,0.01826956681907177,0.0,-6.7516081614371615e-09,-0.264109367833418
1880,0,5.227015972137451,0.12191811203956605,0.8065952658653259,-0.019828250631690025,-0.15668315250499576
1881,1,0.00010699895938159898,0.05519979074597359,0.0,3.1895203278509143e-07,0.012867108973510125
1882,2,1.6365548372268677,-0.1735427975654602,3.0228765010833736,0.04136853665113449,6.262597544520509
1883,3,6.4551963806152335,0.1180046796798706,0.0,-0.10155174881219864,-1.8925489976673442
1884,4,0.00011928092862945049,0.14978715777397156,0.0,8.013463457245962e-07,0.05253996913704802
1885,5,5.56547212600708,-0.07275637239217758,0.0,-7.375561494882277e-08,-1.7736849765128948
1886,6,5.572015762329102,-0.031320471316576004,0.0,-1.1086925866266026e-07,-1.7548536662669743
1887,7,1.794555902481079,0.152778297662735,0.0,-0.08954509347677231,-0.7058504321703724
1888,8,4.492747393669561e-05,-0.004597107414156199,0.0,-4.183972578175599e-06,-0.010447914095814614
1889,9,0.8173326849937439,0.0014775192830711605,0.761774480342865,0.02994182519614696,1.2793240897795732
1890,0,0.0,0.016525376588106155,0.6546985507011414,0.0,1.1782166639379426
1891,1,0.0,0.02082645706832409,1.2050645351409912,-0.0007240947452373803,2.3699024255369223
1892,2,0.0,0.014042689464986323,0.9001926779747009,-0.0007816258585080504,1.7058836836733071
1893,3,0.0,0.0034357893746346235,0.06998595595359802,-0.00018490232469048348,0.09640103509174842
1894,4,0.0,0.019062759354710582,1.678927659988403,0.0001373779377900064,3.3668679863798854
1895,5,0.0,0.017519695684313774,0.0,0.0,-0.001969480836837023
1896,6,0.0,0.0011745449155569074,0.7289703488349915,0.0,1.3284288443186705
1897,7,0.0,0.005111224483698607,2.361398220062256,0.0,4.762519719553929
1898,8,0.0,-0.033518314361572266,0.9423177242279052,0.0017506350995972753,1.769591206867321
1899,9,0.0,-0.02298929914832115,0.4702877104282379,7.047624967526644e-05,0.7776096093596196
1900,0,0.1217668354511261,0.0794844925403595,3.084625720977783,0.0066995397210121155,6.2993506543776565
1901,1,1.7750747203826904,0.0302608422935009,3.87975001335144,-0.004074114374816418,8.189281818913479
1902,2,2.4720821380615234,0.010677505284547806,3.338195323944092,0.002823518589138985,6.976706261728324
1903,3,0.4000571668148041,0.04216863960027695,6.124452590942383,-0.002376227406784892,12.4406585038877
1904,4,2.5499524781480428e-05,0.025296015664935112,0.7544710636138916,0.002426876686513424,1.396788263145615
1905,5,0.7141518592834473,-0.029498333111405376,0.0,-2.434193291378506e-09,-0.3964826198084755
1906,6,0.4891248941421509,-0.058634150773286826,0.0,-9.840473991218348e-10,-0.2772370835346188
1907,7,1.3333892822265625,0.043289687484502785,1.0791342258453371,-0.0077892965637147435,1.8945730628774446
1908,8,0.011414707638323307,-0.03428055718541145,0.7129318118095398,-0.002754375571385026,1.2724704866607983
1909,9,0.7615531086921692,-0.06955543160438538,0.0,0.005941000301390886,-0.44006554309424817
1910,0,1.7913219928741455,0.10341517627239227,0.0,-0.01006918400526047,-0.7340812915023051
1911,1,3.752305201487616e-05,-0.13243849575519562,0.0,-1.2900441959118322e-07,-0.05705944047419026
1912,2,0.31192487478256226,-0.057511057704687125,0.0,0.04169708862900734,-0.17915999615455375
1913,3,0.0001230547932209447,-0.012364364229142666,1.0780878067016602,1.3681042219104709e-06,2.0775269515374126
1914,4,7.922877788543701,0.13588760793209076,5.073833465576172,-0.08279236406087875,8.701351473144456
1915,5,1.0678915977478027,0.10158409923315047,0.0,-0.039812806993722916,-0.49345508845997793
1916,6,7.583451271057129,0.12201989442110063,2.6000030040740967,0.10612939298152924,2.880187078579968
1917,7,0.782261848449707,-0.07815856486558914,0.13303706049919128,-0.003460464533418417,-0.21375228446342198
1918,8,0.0001330420491285622,-0.04236476495862007,0.0,-3.765360419294428e-12,-0.02463593480049395
1919,9,0.00018739608640316874,0.057780049741268165,3.249642372131348,4.9049425854263966e-08,6.591288358557458
1920,0,0.0,-0.03835786134004593,0.5900967121124268,-0.0002040816325461492,1.0106218343271929
1921,1,0.0,-0.023767231032252308,1.1969140768051147,0.0007463146466761827,2.3266939935730955
1922,2,0.0,0.012882815673947334,0.21282051503658292,0.0012720979284495115,0.32888126590599615
1923,3,0.0,-0.003476910060271621,1.223046064376831,0.0002514953375793993,2.3943894540562347
