,acc,bool_hebbian,phi,theta
388,0.4941,0,0.5500000000000002,1
389,0.7604,0,0.5500000000000002,1
390,0.7114,1,0.5500000000000002,1
391,0.7766,1,0.5500000000000002,1
392,0.7202,1,0.5500000000000002,1
393,0.6082,1,0.5500000000000002,1
394,0.7311,1,0.5500000000000002,1
395,0.8454,1,0.5500000000000002,1
396,0.5006,1,0.5500000000000002,1
397,0.3512,1,0.5500000000000002,1
398,0.9316,1,0.5500000000000002,1
399,0.9342,1,0.5500000000000002,1
400,0.6712,0,0.6000000000000002,1
401,0.7736,0,0.6000000000000002,1
402,0.7523,0,0.6000000000000002,1
403,0.6461,0,0.6000000000000002,1
404,0.8537,0,0.6000000000000002,1
405,0.8463,0,0.6000000000000002,1
406,0.8498,0,0.6000000000000002,1
407,0.6407,0,0.6000000000000002,1
408,0.8537,0,0.6000000000000002,1
409,0.7368,0,0.6000000000000002,1
410,0.6087,1,0.6000000000000002,1
411,0.7457,1,0.6000000000000002,1
412,0.9317,1,0.6000000000000002,1
413,0.7493,1,0.6000000000000002,1
414,0.757,1,0.6000000000000002,1
415,0.8031,1,0.6000000000000002,1
416,0.7925,1,0.6000000000000002,1
417,0.5545,1,0.6000000000000002,1
418,0.7302,1,0.6000000000000002,1
419,0.9337,1,0.6000000000000002,1
420,0.5644,0,0.6500000000000001,1
421,0.6519,0,0.6500000000000001,1
422,0.7711,0,0.6500000000000001,1
423,0.6554,0,0.6500000000000001,1
424,0.9382,0,0.6500000000000001,1
425,0.66,0,0.6500000000000001,1
426,0.9423,0,0.6500000000000001,1
427,0.8586,0,0.6500000000000001,1
428,0.5825,0,0.6500000000000001,1
429,0.6718,0,0.6500000000000001,1
430,0.7115,1,0.6500000000000001,1
431,0.5026,1,0.6500000000000001,1
432,0.8643,1,0.6500000000000001,1
433,0.7071,1,0.6500000000000001,1
434,0.6736,1,0.6500000000000001,1
435,0.7713,1,0.6500000000000001,1
436,0.9012,1,0.6500000000000001,1
437,0.5394,1,0.6500000000000001,1
438,0.6229,1,0.6500000000000001,1
439,0.6475,1,0.6500000000000001,1
440,0.8519,0,0.7000000000000002,1
441,0.7641,0,0.7000000000000002,1
442,0.8569,0,0.7000000000000002,1
443,0.761,0,0.7000000000000002,1
444,0.7602,0,0.7000000000000002,1
445,0.5522,0,0.7000000000000002,1
446,0.6537,0,0.7000000000000002,1
447,0.7458,0,0.7000000000000002,1
448,0.7451,0,0.7000000000000002,1
449,0.7629,0,0.7000000000000002,1
450,0.678,1,0.7000000000000002,1
451,0.6613,1,0.7000000000000002,1
452,0.6184,1,0.7000000000000002,1
453,0.9324,1,0.7000000000000002,1
454,0.5469,1,0.7000000000000002,1
455,0.8052,1,0.7000000000000002,1
456,0.8276,1,0.7000000000000002,1
457,0.9349,1,0.7000000000000002,1
458,0.8297,1,0.7000000000000002,1
459,0.6589,1,0.7000000000000002,1
460,0.6796,0,0.7500000000000002,1
461,0.5669,0,0.7500000000000002,1
462,0.7764,0,0.7500000000000002,1
463,0.2911,0,0.7500000000000002,1
464,0.6703,0,0.7500000000000002,1
465,0.9275,0,0.7500000000000002,1
466,0.8526,0,0.7500000000000002,1
467,0.6779,0,0.7500000000000002,1
468,0.377,0,0.7500000000000002,1
469,0.4713,0,0.7500000000000002,1
470,0.6534,1,0.7500000000000002,1
471,0.4991,1,0.7500000000000002,1
472,0.5988,1,0.7500000000000002,1
473,0.8968,1,0.7500000000000002,1
474,0.8665,1,0.7500000000000002,1
475,0.9042,1,0.7500000000000002,1
476,0.663,1,0.7500000000000002,1
477,0.8289,1,0.7500000000000002,1
478,0.6449,1,0.7500000000000002,1
479,0.8427,1,0.7500000000000002,1
480,0.7683,0,0.8000000000000002,1
481,0.6719,0,0.8000000000000002,1
482,0.8437,0,0.8000000000000002,1
483,0.8633,0,0.8000000000000002,1
484,0.5027,0,0.8000000000000002,1
485,0.8365,0,0.8000000000000002,1
486,0.7443,0,0.8000000000000002,1
487,0.5646,0,0.8000000000000002,1
488,0.6911,0,0.8000000000000002,1
489,0.6699,0,0.8000000000000002,1
490,0.6665,1,0.8000000000000002,1
491,0.7495,1,0.8000000000000002,1
492,0.4727,1,0.8000000000000002,1
493,0.8567,1,0.8000000000000002,1
494,0.8191,1,0.8000000000000002,1
495,0.7435,1,0.8000000000000002,1
496,0.9461,1,0.8000000000000002,1
497,0.6282,1,0.8000000000000002,1
498,0.6986,1,0.8000000000000002,1
499,0.5926,1,0.8000000000000002,1
500,0.5831,0,0.8500000000000002,1
501,0.8575,0,0.8500000000000002,1
502,0.6481,0,0.8500000000000002,1
503,0.8608,0,0.8500000000000002,1
504,0.6624,0,0.8500000000000002,1
505,0.5801,0,0.8500000000000002,1
506,0.8635,0,0.8500000000000002,1
507,0.6861,0,0.8500000000000002,1
508,0.8612,0,0.8500000000000002,1
509,0.7675,0,0.8500000000000002,1
510,0.5324,1,0.8500000000000002,1
511,0.9276,1,0.8500000000000002,1
512,0.7816,1,0.8500000000000002,1
513,0.7533,1,0.8500000000000002,1
514,0.9473,1,0.8500000000000002,1
515,0.8531,1,0.8500000000000002,1
516,0.5539,1,0.8500000000000002,1
517,0.8166,1,0.8500000000000002,1
518,0.829,1,0.8500000000000002,1
519,0.7264,1,0.8500000000000002,1
520,0.9468,0,0.9000000000000002,1
521,0.5791,0,0.9000000000000002,1
522,0.7588,0,0.9000000000000002,1
523,0.4959,0,0.9000000000000002,1
524,0.8602,0,0.9000000000000002,1
525,0.751,0,0.9000000000000002,1
526,0.4959,0,0.9000000000000002,1
527,0.7534,0,0.9000000000000002,1
528,0.5774,0,0.9000000000000002,1
529,0.9513,0,0.9000000000000002,1
530,0.9445,1,0.9000000000000002,1
531,0.4892,1,0.9000000000000002,1
532,0.7777,1,0.9000000000000002,1
533,0.9491,1,0.9000000000000002,1
