,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
480,,,0.3189,1,5,0.003
481,,,0.1816,1,5,0.003
482,,,0.2405,1,5,0.003
483,,,0.2575,1,5,0.003
484,,,0.2351,1,5,0.003
485,,,0.1665,1,5,0.003
486,,,0.2055,1,5,0.003
487,,,0.358,1,5,0.003
488,,,0.3156,1,5,0.003
489,,,0.1679,1,5,0.003
490,,,0.1123,1,5,0.003
491,,,0.2531,1,5,0.003
492,,,0.2966,1,5,0.003
493,,,0.101,1,5,0.003
494,,,0.2432,1,5,0.003
495,,,0.1766,1,5,0.003
496,,,0.3025,1,5,0.003
497,,,0.4255,1,5,0.003
498,,,0.1511,1,5,0.003
499,,,0.3166,1,5,0.003
500,,,0.1684,1,5,0.003
501,,,0.1158,1,5,0.003
502,,,0.2534,1,5,0.003
503,,,0.1931,1,5,0.003
504,,,0.0909,1,5,0.003
505,,,0.2225,1,5,0.003
506,,,0.1808,1,5,0.003
507,,,0.2545,1,5,0.003
508,,,0.3548,1,5,0.003
509,,,0.292,1,5,0.003
510,,,0.3929,1,5,0.003
511,,,0.3151,1,5,0.003
512,,,0.1939,1,5,0.003
513,,,0.2755,1,5,0.003
514,,,0.3513,1,5,0.003
515,,,0.1684,1,5,0.003
516,,,0.3484,1,5,0.003
517,,,0.1994,1,5,0.003
518,,,0.3641,1,5,0.003
519,,,0.0982,1,5,0.003
520,,,0.1499,1,5,0.003
521,,,0.4582,1,5,0.003
522,,,0.2327,1,5,0.003
523,,,0.3073,1,5,0.003
524,,,0.243,1,5,0.003
525,,,0.3443,1,5,0.003
526,,,0.1782,1,5,0.003
527,,,0.1946,1,5,0.003
528,,,0.2037,1,5,0.003
529,,,0.2734,1,5,0.003
530,,,0.1135,1,5,0.003
531,,,0.2594,1,5,0.003
532,,,0.2703,1,5,0.003
533,,,0.3412,1,5,0.003
534,,,0.1355,1,5,0.003
535,,,0.3645,1,5,0.003
536,,,0.0911,1,5,0.003
537,,,0.2892,1,5,0.003
538,,,0.2335,1,5,0.003
539,,,0.299,1,5,0.003
540,,,0.2019,0,5,0.004
541,,,0.2529,0,5,0.004
542,,,0.1028,0,5,0.004
543,,,0.3771,0,5,0.004
544,,,0.2689,0,5,0.004
545,,,0.1123,0,5,0.004
546,,,0.2915,0,5,0.004
547,,,0.2941,0,5,0.004
548,,,0.1344,0,5,0.004
549,,,0.2768,0,5,0.004
550,,,0.2437,0,5,0.004
551,,,0.251,0,5,0.004
552,,,0.3265,0,5,0.004
553,,,0.3003,0,5,0.004
554,,,0.2489,0,5,0.004
555,,,0.2744,0,5,0.004
556,,,0.2837,0,5,0.004
557,,,0.2898,0,5,0.004
558,,,0.3476,0,5,0.004
559,,,0.2799,0,5,0.004
560,,,0.2612,0,5,0.004
561,,,0.3012,0,5,0.004
562,,,0.3751,0,5,0.004
563,,,0.4131,0,5,0.004
564,,,0.3342,0,5,0.004
565,,,0.2188,0,5,0.004
566,,,0.3134,0,5,0.004
567,,,0.314,0,5,0.004
568,,,0.2474,0,5,0.004
569,,,0.175,0,5,0.004
570,,,0.1412,0,5,0.004
571,,,0.2765,0,5,0.004
572,,,0.3649,0,5,0.004
573,,,0.3806,0,5,0.004
574,,,0.2734,0,5,0.004
575,,,0.1703,0,5,0.004
576,,,0.336,0,5,0.004
577,,,0.3619,0,5,0.004
578,,,0.1754,0,5,0.004
579,,,0.3879,0,5,0.004
580,,,0.2144,0,5,0.004
581,,,0.3243,0,5,0.004
582,,,0.2405,0,5,0.004
583,,,0.3437,0,5,0.004
584,,,0.2316,0,5,0.004
585,,,0.3034,0,5,0.004
586,,,0.2723,0,5,0.004
587,,,0.2222,0,5,0.004
588,,,0.2106,0,5,0.004
589,,,0.2876,0,5,0.004
590,,,0.2072,0,5,0.004
591,,,0.2367,0,5,0.004
592,,,0.2417,0,5,0.004
593,,,0.4196,0,5,0.004
594,,,0.2663,0,5,0.004
595,,,0.2858,0,5,0.004
596,,,0.2844,0,5,0.004
597,,,0.2216,0,5,0.004
598,,,0.2342,0,5,0.004
599,,,0.1936,0,5,0.004
600,,,0.2157,0,5,0.004
601,,,0.1114,0,5,0.004
602,,,0.3093,0,5,0.004
