,acc,bool_hebbian,phi,theta
602,0.5765,0,16.0,1
603,0.8665,0,16.0,1
604,0.8613,0,16.0,1
605,0.8418,1,16.0,1
606,0.4865,1,16.0,1
607,0.8343,1,16.0,1
608,0.5351,1,16.0,1
609,0.8373,1,16.0,1
610,0.8713,0,17.0,1
611,0.5738,0,17.0,1
612,0.6806,0,17.0,1
613,0.7608,0,17.0,1
614,0.7662,0,17.0,1
615,0.6962,1,17.0,1
616,0.8572,1,17.0,1
617,0.5704,1,17.0,1
618,0.6029,1,17.0,1
619,0.8576,1,17.0,1
620,0.5779,0,18.0,1
621,0.6914,0,18.0,1
622,0.7483,0,18.0,1
623,0.6587,0,18.0,1
624,0.6698,0,18.0,1
625,0.843,1,18.0,1
626,0.4644,1,18.0,1
627,0.6778,1,18.0,1
628,0.854,1,18.0,1
629,0.9503,1,18.0,1
630,0.7536,0,19.0,1
631,0.6807,0,19.0,1
632,0.4868,0,19.0,1
633,0.6548,0,19.0,1
634,0.8564,0,19.0,1
635,0.7699,1,19.0,1
636,0.7981,1,19.0,1
637,0.8644,1,19.0,1
638,0.6177,1,19.0,1
639,0.8833,1,19.0,1
